latitude,longitude
28.6576447,77.2318473
28.6600173,77.2315392
28.6576074,77.2302703
28.6601928,77.2314845
28.660292,77.231352
28.6588557,77.2301226
28.658742,77.230479
28.6586781,77.2303155
28.6572346,77.2299409
28.6572765,77.2299516
28.6576121,77.2295003
28.6576419,77.2292175
28.6576997,77.2298621
28.6577818,77.229187
28.6579667,77.230137
28.6582249,77.2295355
28.6575128,77.2307217
28.6575374,77.2304275
28.6576292,77.231731
28.6581219,77.2307709
28.65814,77.2305042
28.6583446,77.2315739
28.66015,77.2313689
28.6602196,77.2316452
28.6603209,77.2316762
28.6587679,77.2315446
28.6572696,77.230214
28.6577807,77.2325617
28.6577503,77.2321551
28.6575487,77.2318719
28.6580364,77.2320972
28.6579742,77.2317731
28.65737,77.2307132
28.6572771,77.2307071
28.6573933,77.2304069
28.6582463,77.2309686
28.6582567,77.2307846
28.6577902,77.2312407
28.6578138,77.230746
28.6578346,77.2304703
28.6579527,77.2312537
28.6579876,77.23076
28.6580037,77.2304872
28.6576328,77.2312281
28.6576651,77.230734
28.6576841,77.2304485
28.6601222,77.2298323
28.6599562,77.2298338
28.6596116,77.2302303
28.6601227,77.2302493
28.6601146,77.2311487
28.6602868,77.2311645
28.6601539,77.2314974
28.6600498,77.2298391
28.6600484,77.2302603
28.6601196,77.2313749
28.6589069,77.2329206
28.658456,77.2328856
28.6603007,77.231463
28.6593487,77.2316494
28.6593909,77.232627
28.6565261,77.2321786
28.6570283,77.2302061
28.6561722,77.2321668
28.6563739,77.2301313
28.6565166,77.2320614
28.6567965,77.2301376
28.6569729,77.2320191
28.6569792,77.2318916
28.6569921,77.2316296
28.6569889,77.231694
28.6562732,77.2321526
28.656366,77.2321575
28.6568336,77.2301565
28.6567996,77.2305567
28.6569574,77.2312153
28.6569986,77.2306297
28.6563542,77.2305278
28.656816,77.230366
28.6567711,77.2310476
28.6569469,77.2306276
28.6570165,77.2303738
28.656795,77.2306215
